child,itemId,Lemma,Singular description,Singular Code,Plural Description,Plural Code,Comments,
pl01,p1,book,,0,,,Not recorded,
pl01,p1,chair,buk,3,,,,
pl01,p1,coat,"ya, sí",3,,,,
pl01,p1,dog,no,3,,,,
pl01,1,pog,"no, ya, where are we",3,,2,,
pl01,2,rabbit,"ya, git",3,"wabbit, I dunno, babble",2,,
pl01,3,nug,"ya, si, gray",2,,1,,
pl01,4,star,"ya, star, twinkle twinkle",5,"tarsh, tarsh",7,,
pl01,5,tep,te,5,,0,skipped ahead in the book,
pl01,6,fip,<s>,1,,1,,
pl01,7,pig,oink oink pig,5,<>,5,,
pl01,8,truck,babble,3,babble,3,,
pl01,9,gub,guar,5,gub,5,,
pl01,10,fork,,0,,0,skipped ahead in the book,
pl01,11,cup,<s>,1,cut,5,,
pl01,12,gop,<s>,1,goatch,2,,
pl01,13,tig,babble,2,babble,2,,
pl01,14,cow,cow + babble,5,moo,3,,
pl01,15,nep,babble + net,5,n,3,,
pl01,16,cat,cat meow meow,5,cat meow,5,,
pl03,p1,book,book,5,,,,
pl03,p2,chair,chair,5,,,,
pl03,p3,coat,jacket,5,,,,
pl03,p4,dog,doggy,5,,,,
pl03,1,pog,,1,,1,,
pl03,2,rabbit,rabbit,5,rabbit,5,,
pl03,3,nug,g waldo,2,waldo waldo door,2,,
pl03,4,star,tar,5,tarsh,7,,
pl03,5,tep,,1,harts,3,,
pl03,6,fip,fip,5,babble,3,,
pl03,7,pig,pig,5,tree,4,,
pl03,8,truck,truck,5,couch,4,,
pl03,9,gub,gub,5,kubut,3,,
pl03,10,fork,spoon,5,spoon,5,,
pl03,11,cup,cup,5,couch,4,,
pl03,12,gop,,1,apples (?),4,,
pl03,13,tig,tig,5,,1,,
pl03,14,cow,cow,5,couch,4,,
pl03,15,nep,nep,5,,3,,
pl03,16,cat,cats,7,purr,3,,
pl04,p1,book,"hmm, book",1,,,,
pl04,p2,chair,,1,,,child takes control of iPad,
pl04,p3,coat,coat,5,,,,
pl04,p4,dog,dog,5,,,,
pl04,1,pog,pog,5,two pog,6,,
pl04,2,rabbit,rabbit,5,two rabbitsch,7,,
pl04,3,nug,nug,5,two nug,6,,
pl04,4,star,star,5,two starsh,6,,
pl04,5,tep,tep,5,nug,5,,
pl04,6,fip,fip,5,two fip,6,,
pl04,7,pig,"I want to watch a movie, pig",3,two pig,6,,
pl04,8,truck,truck,5,two truck,6,,
pl04,9,gub,gub,5,two gub,6,,
pl04,10,fork,fork,5,domp,2,,
pl04,11,cup,cup,5,two cup,6,"child thinks this is the worst, most boring expt",
pl04,12,gop,gop,5,gop,5,,
pl04,13,tig,tig,5,two tig,6,,
pl04,14,cow,cow,5,two cow,6,,
pl04,15,nep,nep,5,two nep,6,,
pl04,16,cat,cat,5,two cat,6,,
